2021-06-25 19:06:87 INFO  BasePage :34 - Launching Chrome Browser
2021-06-25 19:06:390 INFO  HomePage :35 - Clicking on bank manager Login link[[ChromeDriver: chrome on WINDOWS (212554d7adab3c1453411440224552d9)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-25 19:06:618 INFO  BankManagerLoginPage :24 - Clicking on Add to Customer tab [[ChromeDriver: chrome on WINDOWS (212554d7adab3c1453411440224552d9)] -> xpath: //button[normalize-space()='Add Customer']]
2021-06-25 19:06:443 INFO  AddCustomerPage :28 - Entering first name : Virat to first name field : [[ChromeDriver: chrome on WINDOWS (212554d7adab3c1453411440224552d9)] -> xpath: //input[@placeholder='First Name']]
2021-06-25 19:06:580 INFO  AddCustomerPage :34 - Entering last name : Jani to last name field : [[ChromeDriver: chrome on WINDOWS (212554d7adab3c1453411440224552d9)] -> xpath: //input[@placeholder='Last Name']]
2021-06-25 19:06:729 INFO  AddCustomerPage :40 - Entering post code: nw9 9hn to post code field : [[ChromeDriver: chrome on WINDOWS (212554d7adab3c1453411440224552d9)] -> xpath: //input[@placeholder='Post Code']]
2021-06-25 19:06:776 INFO  AddCustomerPage :45 - Clicking on Add to Customer Button [[ChromeDriver: chrome on WINDOWS (212554d7adab3c1453411440224552d9)] -> xpath: //button[@type='submit']]
2021-06-25 19:06:47 INFO  HomePage :42 - Clicking on home button link[[ChromeDriver: chrome on WINDOWS (212554d7adab3c1453411440224552d9)] -> xpath: //button[@class='btn home']]
2021-06-25 19:06:557 INFO  BasePage :34 - Launching Chrome Browser
2021-06-25 19:06:216 INFO  HomePage :35 - Clicking on bank manager Login link[[ChromeDriver: chrome on WINDOWS (27af4c09e01ba25575b0ea57012ca6b1)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-25 19:06:416 INFO  BankManagerLoginPage :24 - Clicking on Add to Customer tab [[ChromeDriver: chrome on WINDOWS (27af4c09e01ba25575b0ea57012ca6b1)] -> xpath: //button[normalize-space()='Add Customer']]
2021-06-25 19:06:870 INFO  AddCustomerPage :28 - Entering first name : Virat to first name field : [[ChromeDriver: chrome on WINDOWS (27af4c09e01ba25575b0ea57012ca6b1)] -> xpath: //input[@placeholder='First Name']]
2021-06-25 19:06:44 INFO  AddCustomerPage :34 - Entering last name : Jani to last name field : [[ChromeDriver: chrome on WINDOWS (27af4c09e01ba25575b0ea57012ca6b1)] -> xpath: //input[@placeholder='Last Name']]
